Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2018.01.01 00:00:00,1.0,,balance,,,,,0,0.0,10000.0,10000.0,
2018.01.02 17:53:20,2.0,USTEC,buy,in,2.3,6488.2,2.0,0,0.0,0.0,10000.0,
2018.01.02 23:50:00,3.0,USTEC,sell,out,2.3,6502.4,3.0,0,0.0,32.66,10032.66,
2018.01.03 18:09:40,4.0,USTEC,buy,in,2.2,6562.1,4.0,0,0.0,0.0,10032.66,
2018.01.03 23:50:00,5.0,USTEC,sell,out,2.2,6568.2,5.0,0,0.0,13.42,10046.08,
2018.01.04 16:43:40,6.0,USTEC,sell,in,2.2,6579.5,6.0,0,0.0,0.0,10046.08,
2018.01.04 23:50:00,7.0,USTEC,buy,out,2.2,6596.9,9.0,0,0.0,-38.28,10007.8,
2018.01.05 17:55:40,9.0,USTEC,buy,in,2.2,6627.0,10.0,0,0.0,0.0,10007.8,
2018.01.05 16:34:40,8.0,USTEC,sell,in,2.2,6609.0,11.0,0,0.0,0.0,10007.8,
2018.01.08 18:24:00,10.0,USTEC,buy,out,2.2,6675.09,13.0,0,11.15,-145.4,9873.55,sl 6675.09
2018.01.08 23:50:00,11.0,USTEC,sell,out,2.2,6677.2,14.0,0,-21.63,110.44,9962.36,
2018.01.09 20:03:40,12.0,USTEC,buy,in,2.2,6693.0,15.0,0,0.0,0.0,9962.36,
2018.01.09 23:50:00,13.0,USTEC,sell,out,2.2,6669.3,17.0,0,0.0,-52.14,9910.22,
2018.01.10 20:54:40,14.0,USTEC,buy,in,2.2,6659.2,18.0,0,0.0,0.0,9910.22,
2018.01.10 23:50:01,15.0,USTEC,sell,out,2.2,6666.2,20.0,0,0.0,15.4,9925.62,
2018.01.11 17:02:40,16.0,USTEC,buy,in,2.2,6686.8,21.0,0,0.0,0.0,9925.62,
2018.01.11 22:50:40,17.0,USTEC,buy,in,2.2,6704.0,22.0,0,0.0,0.0,9925.62,
2018.01.11 23:50:00,18.0,USTEC,sell,out,2.2,6716.1,24.0,0,0.0,64.46,9990.08,
2018.01.11 23:51:00,19.0,USTEC,sell,out,2.2,6716.1,25.0,0,0.0,26.62,10016.7,
2018.01.12 17:38:40,20.0,USTEC,buy,in,2.2,6733.4,26.0,0,0.0,0.0,10016.7,
2018.01.12 23:50:00,21.0,USTEC,sell,out,2.2,6766.0,28.0,0,0.0,71.72,10088.42,
2018.01.18 16:37:20,22.0,USTEC,buy,in,2.2,6808.6,29.0,0,0.0,0.0,10088.42,
2018.01.18 23:50:00,23.0,USTEC,sell,out,2.2,6800.8,31.0,0,0.0,-17.16,10071.26,
2018.01.24 18:13:40,24.0,USTEC,sell,in,2.1,6954.5,33.0,0,0.0,0.0,10071.26,
2018.01.24 23:50:00,25.0,USTEC,buy,out,2.1,6924.1,34.0,0,0.0,63.84,10135.1,
2018.01.25 16:39:40,26.0,USTEC,sell,in,2.1,6949.4,36.0,0,0.0,0.0,10135.1,
2018.01.25 23:50:00,27.0,USTEC,buy,out,2.1,6926.6,37.0,0,0.0,47.88,10182.98,
2018.01.26 16:58:20,29.0,USTEC,buy,in,2.1,6960.9,38.0,0,0.0,0.0,10182.98,
2018.01.26 16:32:40,28.0,USTEC,sell,in,2.2,6942.9,39.0,0,0.0,0.0,10182.98,
2018.01.26 22:50:40,30.0,USTEC,buy,out,2.2,7012.33,40.0,0,0.0,-152.75,10030.23,sl 7012.33
2018.01.26 23:50:00,31.0,USTEC,sell,out,2.1,7022.1,41.0,0,0.0,128.52,10158.75,
2018.01.29 16:40:40,33.0,USTEC,buy,in,2.1,7008.3,42.0,0,0.0,0.0,10158.75,
2018.01.29 16:33:40,32.0,USTEC,sell,in,2.1,6994.3,43.0,0,0.0,0.0,10158.75,
2018.01.29 23:50:00,34.0,USTEC,sell,out,2.1,6984.2,44.0,0,0.0,-50.61,10108.14,
2018.01.29 23:51:00,35.0,USTEC,buy,out,2.1,6986.6,45.0,0,0.0,16.17,10124.31,
2018.01.30 18:09:40,36.0,USTEC,buy,in,2.1,6956.1,46.0,0,0.0,0.0,10124.31,
2018.01.30 23:50:00,37.0,USTEC,sell,out,2.1,6928.7,48.0,0,0.0,-57.54,10066.77,
2018.01.31 16:25:40,38.0,USTEC,buy,in,2.1,6970.2,49.0,0,0.0,0.0,10066.77,
2018.01.31 18:53:40,39.0,USTEC,sell,in,2.1,6943.2,50.0,0,0.0,0.0,10066.77,
2018.01.31 22:03:40,40.0,USTEC,sell,in,2.1,6923.3,51.0,0,0.0,0.0,10066.77,
2018.01.31 23:50:00,41.0,USTEC,sell,out,2.1,6915.3,52.0,0,0.0,-115.29,9951.48,
2018.01.31 23:50:00,42.0,USTEC,buy,out,2.1,6917.3,53.0,0,0.0,12.6,9964.08,
2018.01.31 23:51:00,43.0,USTEC,buy,out,2.1,6918.7,54.0,0,0.0,51.45,10015.53,
2018.02.01 17:50:40,44.0,USTEC,buy,in,2.1,6960.7,55.0,0,0.0,0.0,10015.53,
2018.02.01 22:32:40,46.0,USTEC,sell,in,2.1,6890.0,56.0,0,0.0,0.0,10015.53,
2018.02.01 22:32:40,45.0,USTEC,sell,out,2.1,6891.09,57.0,0,0.0,-146.18,9869.35,sl 6891.09
2018.02.01 23:50:00,47.0,USTEC,buy,out,2.1,6903.0,58.0,0,0.0,-27.3,9842.05,
2018.02.02 16:35:40,48.0,USTEC,buy,in,2.1,6885.2,59.0,0,0.0,0.0,9842.05,
2018.02.02 16:51:40,49.0,USTEC,sell,in,2.1,6836.7,60.0,0,0.0,0.0,9842.05,
2018.02.02 17:03:40,50.0,USTEC,sell,out,2.1,6816.35,61.0,0,0.0,-144.59,9697.46,sl 6816.35
2018.02.02 23:50:00,51.0,USTEC,buy,out,2.1,6752.9,62.0,0,0.0,175.98,9873.44,
2018.02.06 21:55:40,52.0,USTEC,buy,in,2.2,6597.8,64.0,0,0.0,0.0,9873.44,
2018.02.06 23:50:00,53.0,USTEC,sell,out,2.2,6646.5,65.0,0,0.0,107.14,9980.58,
2018.02.08 17:36:40,54.0,USTEC,sell,in,2.2,6539.5,68.0,0,0.0,0.0,9980.58,
2018.02.08 23:50:00,55.0,USTEC,buy,out,2.2,6345.7,69.0,0,0.0,426.36,10406.94,
2018.02.15 16:50:20,57.0,USTEC,buy,in,2.3,6737.4,71.0,0,0.0,0.0,10406.94,
2018.02.15 16:35:40,56.0,USTEC,sell,in,2.3,6704.5,72.0,0,0.0,0.0,10406.94,
2018.02.15 18:03:40,58.0,USTEC,sell,out,2.3,6670.03,73.0,0,0.0,-154.95,10251.99,sl 6670.03
2018.02.15 20:06:20,59.0,USTEC,buy,out,2.3,6771.55,74.0,0,0.0,-154.22,10097.77,sl 6771.55
2018.02.21 18:00:20,60.0,USTEC,buy,in,2.2,6841.1,75.0,0,0.0,0.0,10097.77,
2018.02.21 18:25:40,61.0,USTEC,buy,in,2.2,6841.1,76.0,0,0.0,0.0,10097.77,
2018.02.21 22:56:40,62.0,USTEC,sell,out,2.2,6772.69,77.0,0,0.0,-150.5,9947.27,sl 6772.69
2018.02.21 22:56:40,63.0,USTEC,sell,out,2.2,6772.69,78.0,0,0.0,-150.5,9796.77,sl 6772.69
2018.02.26 18:32:20,64.0,USTEC,buy,in,2.1,6961.7,80.0,0,0.0,0.0,9796.77,
2018.02.26 23:50:00,65.0,USTEC,sell,out,2.1,6998.8,82.0,0,0.0,77.91,9874.68,
2018.02.27 16:32:20,66.0,USTEC,buy,in,2.1,6995.3,83.0,0,0.0,0.0,9874.68,
2018.02.27 16:54:40,67.0,USTEC,sell,in,2.1,6972.1,84.0,0,0.0,0.0,9874.68,
2018.02.27 18:28:40,68.0,USTEC,sell,in,2.1,6940.1,85.0,0,0.0,0.0,9874.68,
2018.02.27 19:18:40,69.0,USTEC,sell,out,2.1,6925.35,86.0,0,0.0,-146.9,9727.78,sl 6925.35
2018.02.27 23:50:00,70.0,USTEC,buy,out,2.1,6914.0,87.0,0,0.0,122.01,9849.79,
2018.02.27 23:51:00,71.0,USTEC,buy,out,2.1,6913.6,88.0,0,0.0,55.65,9905.44,
2018.02.28 16:54:40,72.0,USTEC,buy,in,2.1,6944.8,89.0,0,0.0,0.0,9905.44,
2018.02.28 17:57:20,73.0,USTEC,sell,in,2.1,6908.3,90.0,0,0.0,0.0,9905.44,
2018.02.28 20:59:40,75.0,USTEC,buy,in,2.1,6958.0,91.0,0,0.0,0.0,9905.44,
2018.02.28 18:40:40,74.0,USTEC,sell,in,2.1,6901.4,92.0,0,0.0,0.0,9905.44,
2018.02.28 22:45:40,76.0,USTEC,sell,out,2.1,6875.35,93.0,0,0.0,-145.85,9759.59,sl 6875.35
2018.02.28 22:45:40,77.0,USTEC,sell,out,2.1,6888.42,94.0,0,0.0,-146.12,9613.47,sl 6888.42
2018.02.28 23:50:00,78.0,USTEC,buy,out,2.1,6878.8,95.0,0,0.0,61.95,9675.42,
2018.02.28 23:51:00,79.0,USTEC,buy,out,2.1,6878.7,96.0,0,0.0,47.67,9723.09,
2018.03.05 17:56:40,80.0,USTEC,buy,in,2.1,6807.8,98.0,0,0.0,0.0,9723.09,
2018.03.05 23:50:00,81.0,USTEC,sell,out,2.1,6874.8,100.0,0,0.0,140.7,9863.79,
2018.03.07 16:31:40,82.0,USTEC,buy,in,2.1,6875.7,101.0,0,0.0,0.0,9863.79,
2018.03.07 23:50:00,83.0,USTEC,sell,out,2.1,6919.6,103.0,0,0.0,92.19,9955.98,
2018.03.08 16:35:40,84.0,USTEC,buy,in,2.1,6964.7,104.0,0,0.0,0.0,9955.98,
2018.03.08 17:06:40,85.0,USTEC,sell,in,2.1,6943.7,105.0,0,0.0,0.0,9955.98,
2018.03.08 23:50:00,86.0,USTEC,sell,out,2.1,6968.3,106.0,0,0.0,7.56,9963.54,
2018.03.08 23:51:00,87.0,USTEC,buy,out,2.1,6970.4,107.0,0,0.0,-56.07,9907.47,
2018.03.09 17:14:40,88.0,USTEC,buy,in,2.1,7032.4,108.0,0,0.0,0.0,9907.47,
2018.03.09 23:50:00,89.0,USTEC,sell,out,2.1,7093.6,109.0,0,0.0,128.52,10035.99,
2018.03.12 20:05:40,90.0,USTEC,buy,in,2.1,7150.8,110.0,0,0.0,0.0,10035.99,
2018.03.12 23:50:00,91.0,USTEC,sell,out,2.1,7133.2,112.0,0,0.0,-36.96,9999.03,
2018.03.13 21:51:40,92.0,USTEC,sell,in,2.1,7052.1,114.0,0,0.0,0.0,9999.03,
2018.03.13 23:50:00,93.0,USTEC,buy,out,2.1,7045.6,115.0,0,0.0,13.65,10012.68,
2018.03.14 16:14:40,94.0,USTEC,sell,in,2.1,7071.0,117.0,0,0.0,0.0,10012.68,
2018.03.14 23:50:00,95.0,USTEC,buy,out,2.1,7037.0,118.0,0,0.0,71.4,10084.08,
2018.03.15 17:29:40,97.0,USTEC,buy,in,2.1,7049.7,119.0,0,0.0,0.0,10084.08,
2018.03.15 16:45:40,96.0,USTEC,sell,in,2.1,7021.3,120.0,0,0.0,0.0,10084.08,
2018.03.15 23:50:00,98.0,USTEC,sell,out,2.1,7050.0,121.0,0,0.0,0.63,10084.71,
2018.03.15 23:51:00,99.0,USTEC,buy,out,2.1,7052.1,122.0,0,0.0,-64.68,10020.03,
2018.03.16 18:25:40,100.0,USTEC,sell,in,2.1,7034.9,123.0,0,0.0,0.0,10020.03,
2018.03.16 23:50:00,101.0,USTEC,buy,out,2.1,7022.0,124.0,0,0.0,27.09,10047.12,
2018.03.21 21:41:40,102.0,USTEC,sell,in,2.1,6859.5,125.0,0,0.0,0.0,10047.12,
2018.03.21 23:50:00,103.0,USTEC,buy,out,2.1,6862.9,126.0,0,0.0,-7.14,10039.98,
2018.03.22 15:40:40,104.0,USTEC,sell,in,2.2,6772.0,128.0,0,0.0,0.0,10039.98,
2018.03.22 23:50:00,105.0,USTEC,buy,out,2.2,6674.2,129.0,0,0.0,215.16,10255.14,
2018.03.27 17:11:40,106.0,USTEC,sell,in,2.2,6760.7,131.0,0,0.0,0.0,10255.14,
2018.03.27 23:50:00,107.0,USTEC,buy,out,2.2,6531.6,132.0,0,0.0,504.02,10759.16,
2018.03.28 19:20:40,110.0,USTEC,buy,in,2.4,6560.9,133.0,0,0.0,0.0,10759.16,
2018.03.28 16:05:00,108.0,USTEC,sell,in,2.4,6469.0,134.0,0,0.0,0.0,10759.16,
2018.03.28 17:02:40,109.0,USTEC,buy,out,2.4,6533.69,135.0,0,0.0,-155.26,10603.9,sl 6533.69
2018.03.28 19:48:40,111.0,USTEC,sell,out,2.4,6495.29,136.0,0,0.0,-157.46,10446.44,sl 6495.29
2018.03.29 17:51:40,113.0,USTEC,buy,in,2.4,6527.0,137.0,0,0.0,0.0,10446.44,
2018.03.29 16:28:40,112.0,USTEC,sell,in,2.4,6490.6,138.0,0,0.0,0.0,10446.44,
2018.03.29 18:01:40,114.0,USTEC,buy,out,2.4,6555.51,139.0,0,0.0,-155.78,10290.66,sl 6555.51
2018.03.29 23:50:00,115.0,USTEC,sell,out,2.4,6560.0,140.0,0,0.0,79.2,10369.86,
2018.04.02 17:02:40,116.0,USTEC,sell,in,2.3,6483.2,141.0,0,0.0,0.0,10369.86,
2018.04.02 23:50:00,117.0,USTEC,buy,out,2.3,6395.6,142.0,0,0.0,201.48,10571.34,
2018.04.04 15:51:40,118.0,USTEC,buy,in,2.4,6359.7,143.0,0,0.0,0.0,10571.34,
2018.04.04 23:50:00,119.0,USTEC,sell,out,2.4,6569.7,145.0,0,0.0,504.0,11075.34,
2018.04.05 16:46:40,120.0,USTEC,sell,in,2.5,6593.5,147.0,0,0.0,0.0,11075.34,
2018.04.05 23:50:00,121.0,USTEC,buy,out,2.5,6595.0,148.0,0,0.0,-3.75,11071.59,
2018.04.06 16:36:40,122.0,USTEC,buy,in,2.5,6558.1,149.0,0,0.0,0.0,11071.59,
2018.04.06 18:02:40,123.0,USTEC,sell,in,2.5,6504.1,150.0,0,0.0,0.0,11071.59,
2018.04.06 20:39:40,124.0,USTEC,sell,in,2.5,6501.9,152.0,0,0.0,0.0,11071.59,
2018.04.06 20:41:40,125.0,USTEC,sell,out,2.5,6492.52,153.0,0,0.0,-163.95,10907.64,sl 6492.52
2018.04.06 23:50:00,126.0,USTEC,buy,out,2.5,6444.2,154.0,0,0.0,149.75,11057.39,
2018.04.06 23:51:00,127.0,USTEC,buy,out,2.5,6443.1,155.0,0,0.0,147.0,11204.39,
2018.04.10 17:45:40,129.0,USTEC,buy,in,2.5,6596.2,156.0,0,0.0,0.0,11204.39,
2018.04.10 16:34:40,128.0,USTEC,sell,in,2.5,6564.2,157.0,0,0.0,0.0,11204.39,
2018.04.10 22:10:20,130.0,USTEC,buy,out,2.5,6629.84,158.0,0,0.0,-164.1,11040.29,sl 6629.84
2018.04.10 23:50:00,131.0,USTEC,sell,out,2.5,6612.7,159.0,0,0.0,41.25,11081.54,
2018.04.11 16:30:40,132.0,USTEC,buy,in,2.5,6588.4,160.0,0,0.0,0.0,11081.54,
2018.04.11 23:50:00,133.0,USTEC,sell,out,2.5,6582.0,162.0,0,0.0,-16.0,11065.54,
2018.04.12 15:33:40,134.0,USTEC,buy,in,2.5,6627.2,163.0,0,0.0,0.0,11065.54,
2018.04.12 23:50:00,135.0,USTEC,sell,out,2.5,6660.3,165.0,0,0.0,82.75,11148.29,
2018.04.13 17:08:40,136.0,USTEC,sell,in,2.5,6658.3,167.0,0,0.0,0.0,11148.29,
2018.04.13 23:50:00,137.0,USTEC,buy,out,2.5,6632.1,168.0,0,0.0,65.5,11213.79,
2018.04.16 15:53:40,138.0,USTEC,buy,in,2.5,6679.6,169.0,0,0.0,0.0,11213.79,
2018.04.16 16:36:40,139.0,USTEC,sell,in,2.5,6660.5,170.0,0,0.0,0.0,11213.79,
2018.04.16 23:50:00,140.0,USTEC,sell,out,2.5,6695.3,171.0,0,0.0,39.25,11253.04,
2018.04.16 23:51:00,141.0,USTEC,buy,out,2.5,6697.2,172.0,0,0.0,-91.75,11161.29,
2018.04.18 19:18:40,142.0,USTEC,buy,in,2.4,6848.4,173.0,0,0.0,0.0,11161.29,
2018.04.18 23:50:00,143.0,USTEC,sell,out,2.4,6836.0,175.0,0,0.0,-29.76,11131.53,
2018.04.19 15:41:40,144.0,USTEC,sell,in,2.4,6810.9,177.0,0,0.0,0.0,11131.53,
2018.04.19 23:50:00,145.0,USTEC,buy,out,2.4,6770.7,178.0,0,0.0,96.48,11228.01,
2018.04.23 17:48:20,147.0,USTEC,buy,in,2.5,6700.5,179.0,0,0.0,0.0,11228.01,
2018.04.23 16:50:40,146.0,USTEC,sell,in,2.5,6668.6,180.0,0,0.0,0.0,11228.01,
2018.04.23 21:13:40,148.0,USTEC,sell,out,2.5,6633.5,181.0,0,0.0,-167.5,11060.51,sl 6633.50
2018.04.23 23:50:00,149.0,USTEC,buy,out,2.5,6658.1,182.0,0,0.0,26.25,11086.76,
2018.04.24 17:16:40,150.0,USTEC,sell,in,2.5,6643.3,183.0,0,0.0,0.0,11086.76,
2018.04.24 23:50:00,151.0,USTEC,buy,out,2.5,6524.1,184.0,0,0.0,298.0,11384.76,
2018.04.25 18:01:40,152.0,USTEC,buy,in,2.6,6519.8,185.0,0,0.0,0.0,11384.76,
2018.04.25 23:50:00,153.0,USTEC,sell,out,2.6,6564.1,187.0,0,0.0,115.18,11499.94,
2018.04.27 16:34:40,154.0,USTEC,sell,in,2.5,6728.2,189.0,0,0.0,0.0,11499.94,
2018.04.27 23:50:00,155.0,USTEC,buy,out,2.5,6666.8,190.0,0,0.0,153.5,11653.44,
2018.04.30 17:03:40,157.0,USTEC,buy,in,2.6,6706.8,191.0,0,0.0,0.0,11653.44,
2018.04.30 15:37:40,156.0,USTEC,sell,in,2.6,6687.3,192.0,0,0.0,0.0,11653.44,
2018.04.30 18:47:20,158.0,USTEC,sell,out,2.6,6639.73,193.0,0,0.0,-174.38,11479.06,sl 6639.73
2018.04.30 23:50:00,159.0,USTEC,buy,out,2.6,6599.7,194.0,0,0.0,227.76,11706.82,
2018.05.01 16:56:40,160.0,USTEC,buy,in,2.6,6613.7,195.0,0,0.0,0.0,11706.82,
2018.05.01 23:50:00,161.0,USTEC,sell,out,2.6,6719.0,197.0,0,0.0,273.78,11980.6,
2018.05.02 15:33:40,162.0,USTEC,sell,in,2.6,6699.9,199.0,0,0.0,0.0,11980.6,
2018.05.02 23:50:00,163.0,USTEC,buy,out,2.6,6627.9,200.0,0,0.0,187.2,12167.8,
2018.05.03 20:15:40,165.0,USTEC,buy,in,2.7,6648.5,201.0,0,0.0,0.0,12167.8,
2018.05.03 16:35:20,164.0,USTEC,sell,in,2.7,6598.0,202.0,0,0.0,0.0,12167.8,
2018.05.03 21:36:40,166.0,USTEC,buy,out,2.7,6663.98,203.0,0,0.0,-178.15,11989.65,sl 6663.98
2018.05.03 23:50:00,167.0,USTEC,sell,out,2.7,6661.2,204.0,0,0.0,34.29,12023.94,
2018.05.04 16:45:40,169.0,USTEC,buy,in,2.7,6656.6,205.0,0,0.0,0.0,12023.94,
2018.05.04 15:40:40,168.0,USTEC,sell,in,2.7,6625.8,206.0,0,0.0,0.0,12023.94,
2018.05.04 17:25:40,170.0,USTEC,buy,out,2.7,6692.06,207.0,0,0.0,-178.9,11845.04,sl 6692.06
2018.05.04 23:50:00,171.0,USTEC,sell,out,2.7,6774.5,208.0,0,0.0,318.33,12163.37,
2018.05.08 18:16:40,173.0,USTEC,buy,in,2.6,6832.3,209.0,0,0.0,0.0,12163.37,
2018.05.08 10:32:40,172.0,USTEC,sell,in,2.6,6821.3,210.0,0,0.0,0.0,12163.37,
2018.05.08 23:50:00,174.0,USTEC,sell,out,2.6,6817.2,211.0,0,0.0,-39.26,12124.11,
2018.05.08 23:51:00,175.0,USTEC,buy,out,2.6,6819.4,212.0,0,0.0,4.94,12129.05,
2018.05.09 19:23:40,177.0,USTEC,buy,in,2.6,6846.1,213.0,0,0.0,0.0,12129.05,
2018.05.09 15:36:40,176.0,USTEC,sell,in,2.6,6831.9,214.0,0,0.0,0.0,12129.05,
2018.05.09 23:50:00,178.0,USTEC,sell,out,2.6,6893.5,215.0,0,0.0,123.24,12252.29,
2018.05.09 23:51:00,179.0,USTEC,buy,out,2.6,6896.6,216.0,0,0.0,-168.22,12084.07,
2018.05.10 15:42:40,180.0,USTEC,buy,in,2.6,6912.6,217.0,0,0.0,0.0,12084.07,
2018.05.10 23:50:00,181.0,USTEC,sell,out,2.6,6955.1,219.0,0,0.0,110.5,12194.57,
2018.05.15 15:35:40,182.0,USTEC,sell,in,2.6,6934.8,221.0,0,0.0,0.0,12194.57,
2018.05.15 23:50:00,183.0,USTEC,buy,out,2.6,6889.3,222.0,0,0.0,118.3,12312.87,
2018.05.16 17:34:40,184.0,USTEC,buy,in,2.6,6919.7,223.0,0,0.0,0.0,12312.87,
2018.05.16 23:50:00,185.0,USTEC,sell,out,2.6,6928.7,224.0,0,0.0,23.4,12336.27,
2018.05.17 16:33:40,187.0,USTEC,buy,in,2.6,6909.5,225.0,0,0.0,0.0,12336.27,
2018.05.17 15:32:40,186.0,USTEC,sell,in,2.6,6897.4,226.0,0,0.0,0.0,12336.27,
2018.05.17 23:50:00,188.0,USTEC,sell,out,2.6,6897.8,227.0,0,0.0,-30.42,12305.85,
2018.05.17 23:51:00,189.0,USTEC,buy,out,2.6,6899.4,228.0,0,0.0,-5.2,12300.65,
2018.05.23 17:07:40,190.0,USTEC,buy,in,2.6,6873.2,229.0,0,0.0,0.0,12300.65,
2018.05.23 18:47:40,191.0,USTEC,buy,in,2.6,6891.2,230.0,0,0.0,0.0,12300.65,
2018.05.23 23:50:00,192.0,USTEC,sell,out,2.6,6946.5,231.0,0,0.0,190.58,12491.23,
2018.05.23 23:51:00,193.0,USTEC,sell,out,2.6,6946.6,232.0,0,0.0,144.04,12635.27,
2018.05.25 17:31:40,194.0,USTEC,buy,in,2.7,6982.2,234.0,0,0.0,0.0,12635.27,
2018.05.25 23:50:00,195.0,USTEC,sell,out,2.7,6956.3,235.0,0,0.0,-69.93,12565.34,
2018.05.29 17:04:40,196.0,USTEC,buy,in,2.7,6959.2,236.0,0,0.0,0.0,12565.34,
2018.05.29 19:11:20,197.0,USTEC,sell,out,2.7,6889.61,237.0,0,0.0,-187.89,12377.45,sl 6889.61
2018.05.30 17:43:40,199.0,USTEC,buy,in,2.6,6971.3,238.0,0,0.0,0.0,12377.45,
2018.05.30 16:54:40,198.0,USTEC,sell,in,2.6,6944.9,239.0,0,0.0,0.0,12377.45,
2018.05.30 23:50:00,200.0,USTEC,sell,out,2.6,6982.7,240.0,0,0.0,29.64,12407.09,
2018.05.30 23:51:00,201.0,USTEC,buy,out,2.6,6984.9,241.0,0,0.0,-104.0,12303.09,
2018.05.31 15:50:40,202.0,USTEC,buy,in,2.6,6993.2,242.0,0,0.0,0.0,12303.09,
2018.05.31 16:03:40,203.0,USTEC,sell,in,2.6,6979.5,243.0,0,0.0,0.0,12303.09,
2018.05.31 17:01:40,204.0,USTEC,buy,in,2.6,6994.7,244.0,0,0.0,0.0,12303.09,
2018.05.31 17:49:00,205.0,USTEC,sell,in,2.6,6964.5,245.0,0,0.0,0.0,12303.09,
2018.05.31 18:38:40,206.0,USTEC,buy,in,2.6,6994.7,246.0,0,0.0,0.0,12303.09,
2018.05.31 23:50:00,207.0,USTEC,sell,out,2.6,6973.6,248.0,0,0.0,-50.96,12252.13,
2018.05.31 23:50:00,208.0,USTEC,sell,out,2.6,6973.6,249.0,0,0.0,-54.86,12197.27,
2018.05.31 23:50:00,209.0,USTEC,sell,out,2.6,6973.6,250.0,0,0.0,-54.86,12142.41,
2018.05.31 23:51:00,210.0,USTEC,buy,out,2.6,6976.2,251.0,0,0.0,8.58,12150.99,
2018.05.31 23:52:00,211.0,USTEC,buy,out,2.6,6977.8,252.0,0,0.0,-34.58,12116.41,
2018.06.01 15:50:40,213.0,USTEC,buy,in,2.5,7005.2,253.0,0,0.0,0.0,12116.41,
2018.06.01 15:34:40,212.0,USTEC,sell,in,2.5,6991.6,254.0,0,0.0,0.0,12116.41,
2018.06.01 17:05:40,214.0,USTEC,buy,in,2.5,7034.1,255.0,0,0.0,0.0,12116.41,
2018.06.01 17:54:40,215.0,USTEC,buy,out,2.5,7061.52,256.0,0,0.0,-174.8,11941.61,sl 7061.52
2018.06.01 23:50:00,216.0,USTEC,sell,out,2.5,7077.3,257.0,0,0.0,180.25,12121.86,
2018.06.01 23:51:00,217.0,USTEC,sell,out,2.5,7078.7,258.0,0,0.0,111.5,12233.36,
2018.06.05 18:10:20,218.0,USTEC,sell,in,2.5,7149.2,259.0,0,0.0,0.0,12233.36,
2018.06.05 23:50:00,219.0,USTEC,buy,out,2.5,7177.6,260.0,0,0.0,-71.0,12162.36,
2018.06.06 17:47:40,220.0,USTEC,sell,in,2.5,7142.4,261.0,0,0.0,0.0,12162.36,
2018.06.06 23:04:40,221.0,USTEC,buy,out,2.5,7213.82,262.0,0,0.0,-178.55,11983.81,sl 7213.82
2018.06.13 16:34:40,222.0,USTEC,buy,in,2.4,7224.1,267.0,0,0.0,0.0,11983.81,
2018.06.13 21:23:40,223.0,USTEC,sell,in,2.4,7208.8,268.0,0,0.0,0.0,11983.81,
2018.06.13 23:50:00,224.0,USTEC,sell,out,2.4,7205.9,269.0,0,0.0,-43.68,11940.13,
2018.06.13 23:51:00,225.0,USTEC,buy,out,2.4,7208.0,270.0,0,0.0,1.92,11942.05,
2018.06.20 16:35:40,226.0,USTEC,buy,in,2.4,7272.3,271.0,0,0.0,0.0,11942.05,
2018.06.20 23:50:00,227.0,USTEC,sell,out,2.4,7289.2,273.0,0,0.0,40.56,11982.61,
2018.06.21 16:12:40,228.0,USTEC,buy,in,2.4,7296.1,274.0,0,0.0,0.0,11982.61,
2018.06.21 17:06:40,229.0,USTEC,sell,in,2.4,7265.1,275.0,0,0.0,0.0,11982.61,
2018.06.21 17:19:40,230.0,USTEC,sell,out,2.4,7223.14,276.0,0,0.0,-175.1,11807.51,sl 7223.14
2018.06.21 22:21:40,231.0,USTEC,sell,in,2.4,7212.0,277.0,0,0.0,0.0,11807.51,
2018.06.21 23:50:00,232.0,USTEC,buy,out,2.4,7212.8,278.0,0,0.0,125.52,11933.03,
2018.06.21 23:51:00,233.0,USTEC,buy,out,2.4,7212.5,279.0,0,0.0,-1.2,11931.83,
2018.06.25 17:03:40,234.0,USTEC,sell,in,2.5,7089.2,280.0,0,0.0,0.0,11931.83,
2018.06.25 23:50:00,235.0,USTEC,buy,out,2.5,7048.9,281.0,0,0.0,100.75,12032.58,
2018.06.26 17:18:40,236.0,USTEC,buy,in,2.5,7088.0,282.0,0,0.0,0.0,12032.58,
2018.06.26 23:50:00,237.0,USTEC,sell,out,2.5,7073.6,283.0,0,0.0,-36.0,11996.58,
2018.06.27 15:38:40,238.0,USTEC,buy,in,2.5,7093.4,284.0,0,0.0,0.0,11996.58,
2018.06.27 17:37:40,239.0,USTEC,buy,in,2.5,7120.1,285.0,0,0.0,0.0,11996.58,
2018.06.27 20:00:20,240.0,USTEC,sell,out,2.5,7048.9,286.0,0,0.0,-178.0,11818.58,sl 7048.90
2018.06.27 20:17:40,241.0,USTEC,sell,out,2.5,7022.47,287.0,0,0.0,-177.33,11641.25,sl 7022.47
2018.06.29 16:42:40,242.0,USTEC,buy,in,2.4,7087.0,288.0,0,0.0,0.0,11641.25,
2018.06.29 22:50:40,243.0,USTEC,sell,in,2.4,7048.0,289.0,0,0.0,0.0,11641.25,
2018.06.29 23:50:00,244.0,USTEC,sell,out,2.4,7049.4,290.0,0,0.0,-90.24,11551.01,
2018.06.29 23:51:00,245.0,USTEC,buy,out,2.4,7050.3,291.0,0,0.0,-5.52,11545.49,
